Date,Open,High,Low,Close,Volume
2025-01-23,214.0,214.9,210.0,211.0,77298.0
2025-01-26,207.0,214.3,207.0,208.0,81668.0
2025-01-27,204.0,212.1,204.0,208.0,52532.0
2025-01-28,206.1,209.4,206.1,208.5,99192.0
2025-02-02,208.0,214.6,208.0,213.5,179177.0
2025-02-03,213.5,219.9,213.5,215.5,136331.0
2025-02-04,218.8,219.8,213.0,213.0,134633.0
2025-02-05,213.0,215.9,210.5,213.0,71186.0
2025-02-06,214.9,214.9,210.1,211.8,80046.0
2025-02-09,211.8,213.0,209.1,211.0,74178.0
2025-02-10,207.0,213.0,207.0,210.2,87919.0
2025-02-11,209.0,214.0,209.0,210.0,89489.0
2025-02-12,213.9,215.0,209.9,210.2,106648.0
2025-02-13,209.0,214.0,209.0,210.2,67551.0
2025-02-16,210.0,213.0,209.6,212.0,90629.0
2025-02-17,214.0,220.3,211.1,218.0,230318.0
2025-02-18,213.7,225.4,213.7,220.0,219012.0
2025-02-20,215.6,224.0,215.6,218.4,114874.0
2025-02-23,215.0,226.0,211.0,222.5,215378.0
2025-02-24,225.0,226.0,220.6,222.0,178974.0
2025-02-25,222.0,225.9,219.0,222.1,128913.0
2025-02-27,226.5,238.0,226.0,229.0,266254.0
2025-03-02,233.5,234.5,229.0,233.5,330159.0
2025-03-03,235.0,237.9,229.1,229.2,250979.0
2025-03-04,224.7,233.5,224.7,226.2,208337.0
2025-03-05,225.5,227.0,221.2,221.2,168501.0
2025-03-06,224.0,224.9,221.0,222.0,127070.0
2025-03-09,222.0,223.0,217.6,218.0,138742.0
2025-03-10,222.0,226.0,216.2,218.0,207706.0
2025-03-11,218.1,220.0,215.4,216.0,76434.0
2025-03-12,216.2,222.0,216.1,220.0,182469.0
2025-03-16,224.3,224.3,215.5,217.7,74085.0
2025-03-17,217.7,221.0,215.1,216.1,74714.0
2025-03-18,218.0,219.0,215.1,215.6,41724.0
2025-03-19,215.0,217.0,213.8,214.6,77883.0
2025-03-20,212.8,215.5,211.1,211.61,102086.0
2025-03-23,209.4,212.0,207.5,207.91,94214.0
2025-03-24,208.0,212.4,206.1,210.1,80644.0
2025-03-25,214.3,214.3,206.1,207.9,72619.0
2025-03-26,206.0,209.9,206.0,209.51,97172.0
2025-03-27,213.7,213.7,209.5,211.59,126571.0
2025-03-30,212.0,216.8,210.0,213.58,129567.0
2025-04-01,216.8,216.8,210.2,210.87,65189.0
2025-04-02,215.0,215.0,210.1,212.39,43740.0
2025-04-03,212.0,233.0,210.1,215.61,176888.0
2025-04-07,217.0,217.0,213.0,213.17,70903.0
2025-04-08,211.4,229.0,208.2,213.67,111787.0
2025-04-09,217.8,218.0,212.0,213.44,45896.0
2025-04-10,215.0,216.6,212.8,214.03,62641.0
2025-04-13,213.0,216.9,210.8,211.51,109321.0
2025-04-15,215.7,215.7,211.4,212.79,69426.0
2025-04-16,217.0,217.0,210.0,212.56,31308.0
2025-04-17,216.0,216.7,212.1,215.19,88087.0
2025-04-20,219.4,223.5,215.0,216.29,114711.0
2025-04-21,220.0,220.0,211.0,212.76,154754.0
2025-04-22,213.0,213.9,209.0,211.52,87977.0
2025-04-23,210.3,213.0,204.9,208.28,390865.0
2025-04-24,208.0,219.5,204.9,209.48,177721.0
2025-04-27,210.0,210.0,206.2,207.01,103414.0
2025-04-28,207.0,208.0,204.0,204.99,122811.0
2025-04-29,209.0,209.0,203.0,203.56,153364.0
2025-04-30,207.6,207.6,201.0,201.61,150280.0
2025-05-04,201.0,206.0,201.0,204.1,86657.0
2025-05-05,205.5,205.5,201.4,203.2,9275.0
2025-05-06,204.0,204.0,202.1,202.91,93716.0
2025-05-07,201.4,214.0,201.4,209.82,143262.0
2025-05-11,210.0,210.0,205.0,205.24,68493.0
2025-05-13,208.0,208.6,204.1,205.4,91143.0
2025-05-14,205.4,208.7,204.1,204.22,97565.0
2025-05-15,204.1,206.0,203.0,203.65,50873.0
2025-05-18,205.0,206.0,202.1,203.62,122703.0
2025-05-19,203.2,206.9,203.0,205.69,73052.0
2025-05-20,207.0,211.0,204.0,210.04,90424.0
2025-05-21,214.2,222.0,210.0,211.01,188458.0
2025-05-22,211.0,224.4,209.1,221.84,531030.0
2025-05-25,222.5,223.0,215.0,216.44,262265.0
2025-05-26,220.7,229.0,215.9,216.7,216810.0
2025-05-27,216.0,219.0,212.4,217.17,113562.0
2025-05-28,221.5,223.3,214.0,222.41,224249.0
2025-06-02,226.8,228.0,218.1,218.79,204636.0
2025-06-03,219.0,221.0,213.2,213.72,143122.0
2025-06-04,214.0,216.8,210.7,212.79,75927.0
2025-06-05,212.0,214.5,210.0,211.76,96617.0
2025-06-08,208.0,213.0,208.0,210.85,80069.0
2025-06-09,213.0,213.0,209.0,210.26,69888.0
2025-06-10,211.0,214.0,210.0,211.97,97064.0
2025-06-11,212.1,214.0,210.0,211.15,80893.0
2025-06-12,211.1,212.0,209.0,209.46,97029.0
2025-06-15,205.3,213.0,205.3,209.22,76015.0
2025-06-16,210.0,212.0,208.4,210.37,102091.0
2025-06-17,213.0,213.0,209.6,209.85,45438.0
2025-06-18,209.0,210.3,208.5,208.89,73998.0
2025-06-19,210.0,211.0,207.0,207.47,86450.0
2025-06-22,206.2,208.0,204.0,204.86,168623.0
2025-06-23,208.9,208.9,204.0,206.26,92568.0
2025-06-24,208.0,210.7,205.8,207.41,98078.0
2025-06-25,208.0,209.9,205.5,206.2,64495.0
2025-06-26,207.0,210.0,204.9,206.87,68210.0
2025-06-29,206.8,214.0,205.1,212.92,122808.0
2025-06-30,217.1,217.1,210.7,212.38,123764.0
2025-07-01,210.8,214.0,210.8,213.39,105974.0
2025-07-02,211.6,217.9,211.6,216.84,169264.0
2025-07-03,221.1,221.1,214.5,215.87,115735.0
2025-07-06,216.0,218.5,214.5,215.24,85090.0
2025-07-07,219.5,219.5,213.6,214.6,97497.0
2025-07-08,212.8,215.0,211.5,213.18,41974.0
2025-07-09,211.2,216.9,211.2,215.9,93032.0
2025-07-10,217.2,224.0,216.0,223.53,476523.0
2025-07-13,228.0,237.0,228.0,232.53,470356.0
2025-07-14,227.9,233.0,222.0,223.7,463245.0
2025-07-15,223.0,228.0,218.0,227.4,497887.0
2025-07-16,230.0,234.9,228.1,231.02,286630.0
2025-07-17,235.0,238.6,232.0,235.78,429891.0
2025-07-20,240.0,240.0,230.0,230.46,523305.0
2025-07-21,230.5,234.0,228.0,231.5,352670.0
2025-07-22,230.1,237.6,230.1,236.83,391436.0
2025-07-23,241.5,241.5,233.4,235.63,219359.0
2025-07-24,235.0,238.0,232.0,234.83,286965.0
2025-07-27,239.0,241.5,233.7,235.09,490176.0
2025-07-28,239.5,239.5,230.0,233.67,316952.0
2025-07-29,241.1,244.6,236.0,242.64,729789.0
2025-07-30,247.0,247.0,236.0,236.58,307591.0
2025-07-31,241.0,241.0,232.0,232.44,240464.0
2025-08-03,230.0,232.9,225.1,226.06,315905.0
2025-08-04,225.3,233.0,224.0,229.8,261907.0
2025-08-05,234.0,234.9,225.0,226.9,167156.0
2025-08-06,229.0,229.0,223.1,225.57,99510.0
2025-08-07,230.0,230.0,224.1,225.35,122290.0
2025-08-12,221.2,224.9,220.2,220.74,78271.0
2025-08-13,221.0,222.0,218.0,218.41,89639.0
2025-08-14,222.0,222.0,215.1,216.15,146232.0
2025-08-17,216.0,216.0,211.5,211.63,212474.0
2025-08-18,212.0,214.3,211.0,212.78,92669.0
2025-08-19,217.0,217.0,212.2,213.3,91515.0
2025-08-20,210.0,219.0,210.0,212.62,57746.0
2025-08-21,215.0,215.2,210.0,212.08,165935.0
2025-08-24,211.0,213.5,208.9,209.05,133046.0
2025-08-25,212.0,212.0,208.2,210.2,68639.0
2025-08-26,210.0,212.9,209.0,209.31,92378.0
2025-08-27,213.4,213.7,209.0,213.18,106943.0
2025-08-28,214.0,214.0,209.3,209.83,152964.0
2025-08-31,214.0,214.0,207.0,207.35,131791.0
2025-09-01,211.4,211.4,207.0,209.77,109662.0
2025-09-02,213.9,214.2,208.0,208.78,88196.0
2025-09-03,208.0,211.0,207.6,209.38,101482.0
2025-09-04,211.3,211.3,207.6,209.32,84947.0
2025-09-07,207.0,209.9,206.5,207.7,55376.0
2025-09-08,206.0,209.0,205.1,205.25,83329.0
