Date,Open,High,Low,Close,Volume
2024-12-16,333.0,333.0,320.0,321.0,72485.0
2024-12-17,322.0,324.9,319.1,322.0,38502.0
2024-12-18,321.0,324.9,321.0,322.5,27913.0
2024-12-19,328.9,328.9,323.8,324.0,99471.0
2024-12-22,317.6,326.4,317.6,323.2,30552.0
2024-12-23,321.0,326.0,318.0,325.0,34848.0
2024-12-24,327.4,329.0,322.1,326.9,24396.0
2024-12-26,323.4,335.0,322.0,333.8,53904.0
2024-12-29,334.2,337.0,332.0,333.9,105485.0
2024-12-31,321.9,321.9,309.8,314.0,52420.0
2025-01-01,314.0,315.0,307.0,307.1,33089.0
2025-01-02,307.0,308.0,304.0,306.0,28790.0
2025-01-05,310.0,310.0,300.1,302.0,31591.0
2025-01-06,301.0,305.0,300.0,305.0,33107.0
2025-01-07,299.0,304.9,299.0,303.0,23953.0
2025-01-08,309.0,309.0,300.0,302.1,27123.0
2025-01-12,305.5,305.5,296.3,296.3,23901.0
2025-01-13,297.0,297.0,290.5,293.9,38612.0
2025-01-15,293.0,293.0,285.0,285.5,47411.0
2025-01-16,285.0,286.0,280.0,283.8,46231.0
2025-01-19,280.0,287.0,275.1,286.5,41611.0
2025-01-20,288.1,289.8,284.0,285.0,19577.0
2025-01-21,285.0,285.0,280.0,281.0,29055.0
2025-01-22,281.0,284.9,280.5,284.0,36936.0
2025-01-23,287.5,290.0,285.0,289.0,40746.0
2025-01-26,290.0,292.7,283.3,287.6,43687.0
2025-01-27,287.0,287.0,283.0,283.5,23094.0
2025-01-28,285.0,287.0,281.1,286.0,27911.0
2025-02-02,288.0,295.0,286.0,294.9,53452.0
2025-02-03,296.0,303.9,296.0,299.0,49607.0
2025-02-04,300.0,304.9,297.0,297.0,51668.0
2025-02-05,296.0,299.0,295.0,297.2,27079.0
2025-02-06,297.0,302.0,296.7,298.0,39334.0
2025-02-09,298.0,301.0,293.2,295.0,22682.0
2025-02-10,293.5,296.0,293.1,295.0,16601.0
2025-02-11,295.0,295.0,290.1,291.8,13397.0
2025-02-12,291.0,295.0,290.6,291.5,24571.0
2025-02-13,295.3,295.3,290.1,293.1,21247.0
2025-02-16,293.0,295.0,289.3,291.4,30069.0
2025-02-17,292.0,300.9,289.5,295.0,70893.0
2025-02-18,298.0,301.9,296.0,300.0,61491.0
2025-02-20,300.0,300.0,295.0,296.0,41190.0
2025-02-23,290.1,299.0,285.0,294.0,54840.0
2025-02-24,292.0,299.0,292.0,293.9,31364.0
2025-02-25,295.5,297.8,292.0,293.1,36537.0
2025-02-27,298.9,310.0,297.0,303.0,72598.0
2025-03-02,305.0,311.0,300.0,309.0,140917.0
2025-03-03,314.0,315.0,306.5,309.0,77760.0
2025-03-04,302.9,310.9,302.9,304.3,74386.0
2025-03-05,301.1,306.0,300.2,301.5,55112.0
2025-03-06,301.5,305.0,300.2,301.0,29555.0
2025-03-09,300.0,305.0,296.0,297.0,24088.0
2025-03-10,297.0,300.0,294.2,294.2,30724.0
2025-03-11,299.8,299.8,291.0,292.0,26267.0
2025-03-12,289.1,294.9,289.1,293.0,24116.0
2025-03-16,293.0,293.0,289.0,290.0,35376.0
2025-03-17,290.0,291.8,289.0,290.0,20075.0
2025-03-18,295.8,295.8,289.0,289.6,19349.0
2025-03-19,291.0,291.0,286.0,286.1,21954.0
2025-03-20,284.0,288.0,283.0,285.66,16174.0
2025-03-23,290.0,290.0,282.0,282.36,55957.0
2025-03-24,282.9,287.9,280.0,285.87,15084.0
2025-03-25,289.5,290.0,280.0,280.3,33659.0
2025-03-26,280.0,283.0,278.5,282.17,18208.0
2025-03-27,287.8,287.8,283.7,285.38,21529.0
2025-03-30,285.0,290.0,285.0,287.3,28128.0
2025-04-01,290.0,290.0,285.0,288.99,16186.0
2025-04-02,288.0,313.0,285.2,295.23,41118.0
2025-04-03,295.0,303.9,295.0,299.13,79398.0
2025-04-07,305.0,305.0,291.1,291.72,20209.0
2025-04-08,290.0,293.0,285.0,291.09,33174.0
2025-04-09,296.9,300.0,289.9,290.37,23950.0
2025-04-10,291.0,293.0,287.1,287.85,19731.0
2025-04-13,290.0,290.0,285.0,288.18,24409.0
2025-04-15,292.0,292.9,286.2,288.45,21484.0
2025-04-16,294.0,294.0,289.0,289.97,23865.0
2025-04-17,295.0,295.0,289.5,291.96,26221.0
2025-04-20,296.0,297.0,288.2,290.92,37196.0
2025-04-21,293.0,293.0,287.0,287.56,23794.0
2025-04-22,291.0,291.0,285.1,285.99,20167.0
2025-04-23,286.0,287.0,282.1,282.91,21640.0
2025-04-24,282.1,284.8,280.5,283.45,20455.0
2025-04-27,285.0,285.9,280.3,281.27,26308.0
2025-04-28,280.4,282.8,280.0,282.06,22512.0
2025-04-29,280.0,283.0,280.0,281.09,16939.0
2025-04-30,280.0,281.9,279.0,280.63,25703.0
2025-05-04,285.0,285.0,279.0,280.11,19617.0
2025-05-05,280.0,281.5,279.0,280.68,3329.0
2025-05-06,279.0,281.0,277.5,277.83,24515.0
2025-05-07,272.3,287.0,272.3,286.33,29812.0
2025-05-11,292.0,292.0,284.0,284.27,21211.0
2025-05-13,286.79,286.79,280.9,282.06,21636.0
2025-05-14,280.1,285.0,280.0,281.08,18859.0
2025-05-15,280.0,282.0,278.2,281.11,26415.0
2025-05-18,281.5,283.5,278.0,280.36,26842.0
2025-05-19,280.1,284.9,280.1,282.78,21693.0
2025-05-20,282.0,290.7,280.0,289.4,29990.0
2025-05-21,295.1,305.0,288.1,289.29,57459.0
2025-05-22,290.0,303.0,284.0,296.73,59233.0
2025-05-25,300.0,300.0,294.1,294.98,29709.0
2025-05-26,300.8,303.0,297.0,297.05,56707.0
2025-05-27,295.0,296.0,290.0,294.44,37980.0
2025-05-28,293.0,300.0,291.8,299.6,49484.0
2025-06-02,305.5,306.0,294.6,296.78,56718.0
2025-06-03,295.0,298.0,291.1,291.42,37267.0
2025-06-04,285.7,291.0,285.7,290.21,21673.0
2025-06-05,290.0,291.0,283.0,288.25,43892.0
2025-06-08,288.5,290.0,285.0,287.6,10481.0
2025-06-09,286.0,291.0,285.0,288.44,17735.0
2025-06-10,293.0,293.0,287.2,288.33,25016.0
2025-06-11,284.5,291.0,284.2,288.09,13387.0
2025-06-12,285.0,289.3,285.0,286.2,28838.0
2025-06-15,286.1,288.0,284.0,284.25,35850.0
2025-06-16,289.0,289.0,284.5,286.05,25471.0
2025-06-17,286.2,287.0,283.1,284.77,19099.0
2025-06-18,285.0,288.0,284.0,285.52,17243.0
2025-06-19,280.0,285.0,280.0,284.18,19789.0
2025-06-22,284.0,287.0,280.5,281.08,37857.0
2025-06-23,278.5,282.4,278.5,281.24,28893.0
2025-06-24,280.1,285.7,277.0,281.48,24677.0
2025-06-25,286.0,286.0,281.0,281.73,17868.0
2025-06-26,281.8,284.0,281.1,281.85,30005.0
2025-06-29,285.0,287.4,280.0,286.67,37928.0
2025-06-30,290.0,291.0,286.0,287.28,25817.0
2025-07-01,281.6,296.0,281.6,293.7,65159.0
2025-07-02,295.0,301.8,294.0,300.65,124408.0
2025-07-03,303.0,305.0,297.0,300.74,123907.0
2025-07-06,300.0,306.0,297.0,299.94,72632.0
2025-07-07,297.0,303.5,296.0,296.51,58749.0
2025-07-08,295.2,299.0,294.0,297.08,76334.0
2025-07-09,301.0,307.0,295.1,306.0,122851.0
2025-07-10,304.2,320.0,304.1,314.7,258347.0
2025-07-13,320.9,333.5,320.9,327.02,215092.0
2025-07-14,329.0,329.0,314.2,315.71,115004.0
2025-07-15,312.1,326.0,311.7,323.7,106227.0
2025-07-16,329.9,330.1,324.0,327.13,142187.0
2025-07-17,328.0,333.5,328.0,331.6,187049.0
2025-07-20,334.9,342.0,326.0,330.22,226513.0
2025-07-21,331.0,335.0,325.4,334.9,104403.0
2025-07-22,338.0,341.9,334.0,339.57,142308.0
2025-07-23,340.0,342.0,334.2,339.6,121584.0
2025-07-24,338.0,341.0,335.1,336.59,72244.0
2025-07-27,329.9,339.0,329.9,332.03,129779.0
2025-07-28,330.0,333.5,324.0,328.3,118015.0
2025-07-29,338.4,340.1,333.1,335.35,187129.0
2025-07-30,342.0,342.0,331.5,332.08,109653.0
2025-07-31,334.8,336.6,327.0,332.18,128639.0
2025-08-03,328.0,329.9,323.0,326.37,89591.0
2025-08-04,322.0,329.0,322.0,327.91,73743.0
2025-08-05,325.6,334.0,325.0,325.0,52835.0
2025-08-06,331.8,331.8,322.5,327.8,47800.0
2025-08-07,334.3,334.3,325.1,326.85,41801.0
2025-08-12,333.0,334.5,328.0,330.97,123924.0
2025-08-13,332.0,335.0,330.0,330.48,77384.0
2025-08-14,331.1,333.9,330.3,332.45,86636.0
2025-08-17,332.5,337.0,332.0,334.66,80302.0
2025-08-18,337.0,338.8,334.0,337.68,81072.0
2025-08-19,338.0,339.0,335.0,335.67,42199.0
2025-08-20,336.0,338.0,332.1,332.5,31830.0
2025-08-21,333.0,334.0,328.6,329.26,56884.0
2025-08-24,330.9,330.9,326.0,326.2,50565.0
2025-08-25,323.0,328.0,323.0,326.49,53184.0
2025-08-26,326.0,329.0,325.4,326.28,27429.0
2025-08-27,332.8,332.8,326.0,331.31,45857.0
2025-08-28,327.1,332.0,326.0,327.55,66102.0
2025-08-31,331.0,331.0,322.5,323.22,42198.0
2025-09-01,329.6,329.6,323.2,327.47,37584.0
2025-09-02,334.0,334.0,325.0,325.5,25961.0
2025-09-03,323.5,326.7,323.5,324.08,29206.0
2025-09-04,324.0,325.4,322.2,324.71,32179.0
2025-09-07,327.8,327.8,320.6,321.11,49379.0
2025-09-08,320.3,321.0,317.0,317.16,69424.0
